id,name,postcode,lat,lng,geosrc
470891,Greggs,"WC1V 6DR",51.518505,-0.111974,fhrs
107172,Greggs,"BB4 5QN",53.705700,-2.325748,fhrs
1223631,Greggs,"DN15 6AF",53.595333,-0.645904,fhrs
1208356,Greggs,"BS4 5NL",51.430897,-2.541771,fhrs
495926,Greggs,"PO5 3QQ",50.786026,-1.087844,fhrs
811061,Greggs,"BS16 3UP",51.480434,-2.529409,fhrs
1194657,Greggs,"DE55 4LQ",53.087044,-1.375582,fhrs
604452,Greggs,"B72 1XX",52.562599,-1.823215,fhrs
1418941,Greggs,"N13 5TT",51.618954,-0.107201,fhrs
250075,Greggs,"TF2 6EL",52.695225,-2.451485,fhrs
1366895,Greggs,"TF5 0LW",52.718128,-2.531872,fhrs
